Class,jena-2.10.0,jena-2.11.0,jena-2.12.0,jena-2.13.0,jena-3.0.0,jena-3.1.0,jena-3.2.0,jena-3.3.0,jena-3.4.0,jena-3.5.0,jena-3.6.0,jena-3.7.0,jena-3.8.0,jena-3.9.0,jena-3.10.0,jena-3.11.0,jena-3.12.0,jena-3.13.0,jena-3.14.0,jena-3.15.0,jena-3.16.0,jena-3.17.0,jena-4.0.0,jena-4.1.0,jena-4.2.0,jena-4.3.0,jena-4.4.0,jena-4.5.0,average
jena-csv/src/main/java/org/apache/jena/propertytable/graph/RowMatch.java,0,0,0,48,4,0,96,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,7
jena-core/src/main/java/com/hp/hpl/jena/vocabulary/OWL.java,1,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321428571
jena-core/src/test/java/com/hp/hpl/jena/rdfxml/xmlinput/states/TestHandler.java,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714
jena-core/src/main/java/com/hp/hpl/jena/reasoner/rulesys/impl/TripleMatchFrame.java,3,0,4,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035714286
jena-integration-tests/src/test/java/org/apache/jena/sparql/exec/http/TestUpdateExecHTTP.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,5.357142857
jena-core/src/main/java/com/hp/hpl/jena/rdfxml/xmloutput/impl/SimpleLogger.java,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286
jena-core/src/test/java/org/apache/jena/rdf/model/test/TestConcurrencyNesting.java,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.464285714
jena-db/jena-dboe-trans-data/src/main/java/org/apache/jena/dboe/trans/bplustree/rewriter/RecordBufferPagePacker.java,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,52,0,0,0,0,0,0,5,0,0,0,0,0,5.285714286
jena-elephas/jena-elephas-io/src/main/java/org/apache/jena/hadoop/rdf/io/output/writers/AbstractWholeFileQuadWriter.java,0,0,0,66,9,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,6.714285714
jena-db/jena-tdb2/src/test/java/org/apache/jena/tdb2/store/AbstractTestTransPromoteTDB2.java,0,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.785714286
jena-arq/src/test/java/com/hp/hpl/jena/sparql/solver/TestReorder.java,2,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.392857143
jena-arq/src/main/java/riotcmd/infer.java,34,34,0,0,12,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.357142857
jena-arq/src/test/java/org/apache/jena/riot/ErrorHandlerTestLib.java,67,0,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,3.642857143
jena-examples/src/main/java/rdfconnection/examples/RDFConnectionExample1.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1.535714286
jena-arq/src/main/java/com/hp/hpl/jena/sparql/path/PathVisitorBase.java,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571428571
jena-arq/src/main/java/org/apache/jena/sparql/graph/GraphDefaultDataBag.java,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,3.071428571
jena-arq/src/main/java/org/apache/jena/http/HttpEnv.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,3
jena-arq/src/main/java/com/hp/hpl/jena/sparql/util/FmtUtils.java,5,3,341,67,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.42857143
jena-sdb/src/com/hp/hpl/jena/sdb/util/PrintSDB.java,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.785714286
jena-tdb/src/test/java/com/hp/hpl/jena/tdb/base/objectfile/TS_ObjectFile.java,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214285714
jena-geosparql/src/main/java/org/apache/jena/geosparql/configuration/ModeSRS.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,9,0,0,0,0,2,0,0,0,0,0,4.071428571
jena-arq/src/test/java/org/apache/jena/sparql/algebra/TestOpAsQuery.java,0,0,0,0,509,0,0,0,0,0,0,26,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,20.57142857
jena-arq/src/main/java/com/hp/hpl/jena/sparql/ARQConstants.java,12,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.964285714
jena-permissions/src/test/java/org/apache/jena/permissions/graph/GraphEventManagerTest.java,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,0,0,0,0,9.25
